1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0.24907,0.25567,0.22355,0.25007,0.23028,0.25544,0.30697,0.4062,0.44719,0.48666,0.48602,0.48629,0.46909,0.44057,0.41483,0.44381,0.43142,0.44938,0.42584,0.43235,0.43792,0.44766,0.46131,0.48156,0.47592,0.53089,0.51829,0.52856,0.55371,0.5435,0.52185,0.51871,0.5048,0.46741,0.4433,0.45458,0.44162,0.43791,0.42863,0.41595,0.38468,0.35842,0.28117,0.20825,0.1311,0.24493,0.33598,0.42335,0.51261,0.52816,0.54021,0.54021
0.50566,0.73807,0.64518,0.58196,0.69977,0.58666,0.60491,0.61465,0.586,0.60507,0.60203,0.61053,0.6447,0.64391,0.68986,0.75841,0.67656,0.74216,0.73912,0.76546,0.76226,0.78652,0.78216,0.76008,0.75577,0.74611,0.72114,0.72122,0.7293,0.69123,0.65735,0.67717,0.67071,0.68686,0.67429,0.7041,0.68361,0.70083,0.65782,0.63397,0.59131,0.53289,0.46083,0.33253,0.27474,0.37286,0.29728,0.54834,0.57994,0.72688,0.73505,0.73505
0.17802,0.15812,0.18157,0.26405,0.20106,0.2136,0.24188,0.26663,0.29912,0.36364,0.387,0.40698,0.40296,0.38063,0.36619,0.37049,0.35429,0.37193,0.35567,0.39628,0.40943,0.40186,0.44342,0.44636,0.45625,0.48421,0.4961,0.46296,0.47723,0.43427,0.41309,0.40284,0.34116,0.36262,0.34656,0.36047,0.33317,0.35009,0.37295,0.31266,0.29088,0.23866,0.16267,0.11348,0.048838,3.25E-30,0.26172,0.33233,0.41482,0.44618,0.47311,0.47311
0.15822,0.23217,0.20837,0.2342,0.25638,0.24586,0.26791,0.29643,0.37662,0.40355,0.42872,0.4257,0.4131,0.40805,0.39251,0.37005,0.35137,0.4062,0.3665,0.37089,0.38623,0.42936,0.43067,0.44459,0.43952,0.45233,0.45522,0.45546,0.47832,0.46462,0.46682,0.43459,0.37383,0.41647,0.37061,0.35656,0.35173,0.35503,0.34933,0.34503,0.31253,0.29862,0.26069,0.31699,0.24472,0.2743,0.3227,0.38207,0.43992,0.45512,0.46064,0.46064
0.21428,0.19855,0.23677,0.26149,0.25033,0.26107,0.31505,0.36347,0.40247,0.41076,0.42325,0.42164,0.38558,0.37283,0.36306,0.37639,0.38659,0.46794,0.46031,0.47736,0.48359,0.50137,0.5384,0.54306,0.52097,0.53,0.51564,0.51808,0.54561,0.49754,0.48106,0.45628,0.43555,0.40775,0.39919,0.38451,0.37734,0.37565,0.37147,0.36672,0.35334,0.33323,0.29771,0.33994,0.34995,0.36244,0.40519,0.4141,0.45932,0.44224,0.47166,0.47166
0.73179,0.70082,0.50525,0.40759,0.26899,2.99E-288,5.92E-26,0.61667,0.30156,0.40481,0.44616,0.49049,0.30794,0.35676,0.45854,0.49684,0.2283,0.30043,0.25895,0.56711,0.56017,0.65646,0.72603,0.78903,0.75227,0.7808,0.76512,0.75987,0.80563,0.78319,0.77903,0.77441,0.77607,0.76924,0.77794,0.77977,0.80374,0.78381,0.75609,0.74871,0.73083,0.69625,0.56151,0.51501,0.3478,0.25189,0.44397,0.62719,0.71933,0.78345,0.78535,0.78535
0.24151,0.32985,0.36068,0.39661,0.39876,0.40454,0.41901,0.36222,0.34708,0.35456,0.39428,0.41786,0.41643,0.41941,0.39889,0.41518,0.41184,0.40304,0.38508,0.42184,0.41192,0.43518,0.4427,0.48306,0.47748,0.51821,0.505,0.51038,0.52855,0.53134,0.504,0.49589,0.45946,0.44391,0.42923,0.44455,0.4416,0.44836,0.42774,0.40655,0.35994,0.32248,0.26704,0.19763,0.18314,0.224,0.2667,0.35592,0.43263,0.46718,0.48677,0.48677
0.17337,0.1273,0.045249,0.05735,0.063292,0.017136,0.099725,0.099922,0.146,0.18763,0.21755,0.24046,0.22792,0.20804,0.18624,0.16369,0.14088,0.15522,0.18884,0.19746,0.21021,0.23803,0.30912,0.34098,0.34157,0.36653,0.31507,0.31837,0.36252,0.31128,0.30219,0.27064,0.23066,0.22971,0.20939,0.2268,0.25881,0.27053,0.29239,0.28889,0.27849,0.23613,0.24264,0.19151,0.15937,0.11502,0.1742,0.23925,0.27658,0.35407,0.36158,0.36158
0.30181,0.37349,0.34104,0.23748,0.22886,0.34249,0.34051,0.19124,0.3692,0.43768,0.55584,0.50283,0.53736,0.5131,0.4937,0.56158,0.55412,0.5638,0.55339,0.57909,0.59222,0.62734,0.65393,0.67758,0.6639,0.68127,0.67834,0.67767,0.68554,0.65146,0.64164,0.60876,0.5772,0.58677,0.58633,0.61496,0.62007,0.61053,0.60536,0.60849,0.59532,0.56572,0.53556,0.4853,0.41009,0.38908,0.43017,0.51944,0.60246,0.6305,0.68388,0.68388
0.12041,0.11643,0.13591,0.2306,0.22659,0.26033,0.27515,0.21518,0.22768,0.29776,0.3308,0.35398,0.34471,0.33589,0.32236,0.32576,0.37078,0.42146,0.43531,0.43535,0.48971,0.47197,0.50273,0.4977,0.46421,0.46971,0.44496,0.42364,0.46222,0.41292,0.39271,0.35917,0.32551,0.32364,0.2952,0.3062,0.32947,0.35522,0.32987,0.3293,0.29676,0.26619,0.16359,0.096362,1.84E-06,2.01E-06,0.092262,0.21969,0.3687,0.38893,0.39763,0.39763
